iter	Passed	Remaining
802	49206	12071
803	49265	12009
804	49331	11949
805	49394	11888
806	49457	11828
807	49529	11769
808	49587	11707
809	49654	11647
810	49714	11585
811	49776	11524
812	49841	11464
813	49901	11402
814	49969	11342
815	50037	11282
816	50102	11222
817	50166	11161
818	50232	11101
819	50292	11039
820	50346	10976
821	50411	10916
822	50472	10855
823	50533	10793
824	50604	10734
825	50668	10673
826	50737	10613
827	50801	10552
828	50868	10492
829	50927	10430
830	50993	10370
831	51056	10309
832	51121	10248
833	51176	10186
834	51233	10124
835	51290	10061
836	51354	10000
837	51414	9939
838	51482	9879
839	51546	9818
840	51608	9757
841	51665	9694
842	51725	9633
843	51786	9571
844	51846	9510
845	51903	9448
846	51969	9387
847	52036	9327
848	52102	9266
849	52170	9206
850	52233	9145
851	52293	9083
852	52350	9021
853	52409	8959
854	52477	8899
855	52531	8837
856	52590	8775
857	52653	8714
858	52719	8653
859	52785	8592
860	52853	8532
861	52920	8472
862	52989	8412
863	53053	8351
864	53121	8290
865	53187	8230
866	53249	8168
867	53306	8106
868	53372	8045
869	53437	7984
870	53492	7922
871	53553	7861
872	53623	7800
873	53687	7739
874	53749	7678
875	53818	7618
876	53884	7557
877	53944	7495
878	54005	7434
879	54064	7372
880	54124	7310
881	54188	7249
882	54248	7188
883	54315	7127
884	54375	7065
885	54440	7004
886	54497	6942
887	54554	6880
888	54615	6819
889	54677	6757
890	54741	6696
891	54806	6635
892	54873	6574
893	54937	6513
894	55004	6453
895	55064	6391
896	55131	6330
897	55190	6268
898	55247	6206
899	55301	6144
900	55363	6083
901	55424	6021
902	55483	5959
903	55544	5898
904	55602	5836
905	55668	5775
906	55734	5714
907	55784	5652
908	55856	5591
909	55917	5530
910	55978	5468
911	56047	5408
912	56112	5346
913	56180	5286
914	56237	5224
915	56303	5163
916	56364	5101
917	56432	5040
918	56501	4979
919	56567	4918
920	56629	4857
921	56684	4795
922	56749	4734
923	56809	4672
924	56876	4611
925	56934	4549
926	56997	4488
927	57060	4427
928	57115	4365
929	57186	4304
930	57251	4243
931	57315	4181
932	57381	4120
933	57444	4059
934	57503	3997
935	57568	3936
936	57630	3874
937	57689	3813
938	57752	3751
939	57813	3690
940	57873	3628
941	57939	3567
942	57998	3505
943	58059	3444
944	58121	3382
945	58179	3321
946	58237	3259
947	58301	3197
948	58365	3136
949	58434	3075
950	58493	3013
951	58551	2952
952	58617	2890
953	58674	2829
954	58735	2767
955	58793	2705
956	58852	2644
957	58916	2582
958	58981	2521
959	59041	2460
960	59103	2398
961	59179	2337
962	59240	2276
963	59300	2214
964	59364	2153
965	59425	2091
966	59485	2030
967	59546	1968
968	59601	1906
969	59667	1845
970	59736	1784
971	59808	1722
972	59885	1661
973	59957	1600
974	60032	1539
975	60105	1478
976	60177	1416
977	60243	1355
978	60311	1293
979	60376	1232
980	60440	1170
981	60499	1108
982	60568	1047
983	60627	985
984	60693	924
985	60757	862
986	60835	801
987	60893	739
988	60950	677
989	61013	616
990	61081	554
991	61139	493
992	61207	431
993	61276	369
994	61348	308
995	61412	246
996	61474	184
997	61529	123
998	61592	61
999	61661	0
